,sources_quote,label
55,video show man upset added nofly list storming capitol,1
56,there 9 american rescue plan actually going covid meaning 91 even covidrelated,1
57,cdc director robert redfield say healthy people wear mask,1
58,say north carolina bill require inperson learning stripping health protocol place,1
59,say hurricane harvey dropped water houston five day go niagara fall year,1
60,optional microchip covid19 vaccine would give official information vaccinated track location patient,1
61,cdc removed covid19 pandemic replaced covid19 outbreak website never pandemic,1
62,kamala harris think young american stupid,1
63,number people died u 2020 par year prior covid19,1
64,cal cunningham silent defunding police assume silence consent,1
65,covid19 mean certificate identification vaccination artificial intelligence,1
66,abigail spanberger voted nancy pelosi 90 time,1
67,fed seize 19888 fake state driver license made china chicago ohare airport registered vote demorats,1
68,nevada want thing dont verification signature ballot,1
69,antiblack life matter flag replaced american flag behind president trump waukesha campaign rally,1
70,say authority found 39 child double wide trailer georgia biggest news story america,1
71,daughter sen coon dde along 7 underaged girl featured hunter laptop breitbart news,1
72,cori bush career criminal con artist,1
73,say texas lower tax le regulation anywhere else u,1
74,cdc adjusted u covid death 153504 9210,1
75,photo show whoopi goldberg wearing shirt insulting donald trump,1
76,photo show aftermath chop zone seattle wa july 2020,1
77,donald trump thom tillis opposed legislation would lower price insulin prescription drug,1
78,say child presence school count informed consent vaccination parental presence required,1
79,say year first time 27 year senator two african american ever served senate committee,1
80,say ballot wisconsin dumped river creek,1
81,say cal cunningham got 40000 tax incentive update butler pantry,1
82,democratic convention pledge allegiance read word god removed,1
83,joe biden step nancy pelosi become vice president,1
84,number icu bed larger boone county factor three compared orange county university north carolina,1
85,people hate trump put child protective force found 300 missing kid le 30 day,1
86,rock lost 48 million follower ig youtube coming biden,1
87,hacked email revealed hillary clinton pal involved sex trafficking child,1
88,photo show kamala harris listed caucasian birth certificate,1
89,say joe biden call donald trump supporter dreg society,1
90,hoadley called woman breeder wanted learn crystal meth wrote sexual partner victim hoadley even wrote four yearold wearing thong,1
91,say dominion voting system flipped vote joe biden state trump bringing legal challenge,1
92,world health organization admitted right lockdown killing country world cure cannot worse problem,1
93,say steve bullock failed act senior political aide caught sexually harassing woman bullock knew harassment said nothing remaining silent aide took another job harassed woman,1
94,say biden administration labeled libertarian terrorist,1
95,last 10 year le half adult u received flu shot,1
96,say george patton said politician lowest form life earth liberal democrat lower form politician,1
97,dominion voting system deleted 27 million trump vote nationwide,1
98,video show california election worker cheating collecting ballot drop box nov 4,1
99,say ruth bader ginsburg said age consent sexual act must lowered age 12 year old,1
100,go antifacom take bidens white house slap face,1
101,military tribunal start jan 20 2021,1
102,video show trashed ballot donald trump,1
103,resident wisconsin election commission suspected moving illegal voter,1
104,beware george soros starting fake news site missouri,1
105,mail ballot sunday show polling station tuesday wont know ive already voted friend serious concern u,1
106,video showed police thank kyle rittenhouse give water prior killing,1
107,may wisconsin test mask effectiveness went mask mask significant difference case,1
108,donald trump letter joe biden said know,1
109,say donald trump worst job president recorded history,1
110,24 every 100 kid school today speak spanish,1
111,judge jeff davis spent year defending convicted cop killer tried get hook,1
112,toxicology report made public mn prosecution revealing cause george floyds death fentanyl overdose,1
113,score politician others list sex case newly unsealed ghislaine maxwell court document,1
114,overnight election worker found 140000 mail ballot wisconsin 200000 michigan 1 million pennsylvania biden none trump,1
115,say former president barack obama arrested espionage,1
116,ted cruz say owning gun hassle free owning car recall requires license registration,1
117,there still handful school district inperson instruction,1
118,say jacob blake shot police kenosha warrant sexual assault prior conviction gun use,1
119,say jacob blake declared gun car going go get brandishing knife,1
120,president trump marshalled full resource federal government outset directed u forge seamless partnership governor across america political party,1
121,unemployment report show america bouncing back,1
122,every single swingseat house democrat endorsed medicareforall reelection track win reelection every single one,1
123,heard department homeland security probably secure election thats ever run united state,1
124,video show poll worker committing voter fraud delaware county pa,1
125,fbi raided cleveland office linked ukraine biden pelosi kerry romney son getting ten million dollar noshow job ukraine,1
126,say series 11 photo 1918 flu pandemic,1
127,photo show kamala harris parent,1
128,say sean connery wrote letter steve job refusing apple spokesman,1
129,say joni ernst support lawsuit thats headed supreme court repeal affordable care act,1
130,say ann wagner campaign taken million dollar special interest almost anyone else congress,1
131,photo show angela merkel theresa may dalia grybauskaitė teenager,1
132,say sam hyde identified perpitrator sic beirut explosion,1
133,virginia state steepest drop number abortion 2011 2017,1
134,photo show 7 marine killed training exercise yesterday,1
135,say bill gate said need develop digital certificate show received vaccination required vaccination may travel visit church participate sport music event get job etc,1
136,number coronavirus death almost nothing,1
137,say illinois made nationleading investment funding census outreach,1
138,1983 joe biden voted favor taxing 50 social security 1993 biden deciding vote raising percentage taxed social security 50 85,1
139,plot kidnap michigan gov gretchen whitmer perps antifa blm anarchist,1
140,send every qualified person fouryear college state 150 billion,1
141,say dan forest missed almost half board education meeting pandemic,1
142,leader proud boy florida state director latino trump,1
143,image quote sen ted cruz saying last election 54 million evangelical christian stayed home christian simply show vote value well turn country around,1
144,approving constitutional amendment illinois november ballot would let politician immediately implement plan increase tax small business farmer large employer,1
145,say lucy mcbath voted release criminal prison murderer rapist,1
146,say president donald trump started trade war led surge farm bankruptcy,1
147,speaking federal debt coronavirus pandemic starting get number,1
148,example covid19 pandemic hit administration implemented program provide individual without healthinsurance coverage access necessary covid19related testing treatment,1
149,say joe biden voted iraq war supported war serbia syria libya,1
150,say donald trump proposes cutting half billion dollar local police support,1
151,covid19 infection 61 trump last day covid19 vaccination 85 trump last day competence matter,1
152,86 american 82 gun owner support requiring gun buyer pas background check,1
153,joe bidens dept energy blocked texas increasing power ahead killer storm,1
154,current immigration apprehension number worse crisis bidenobamapelosi acknowledged 2014,1
155,energy expert state house dems among others warning texas power blackout year,1
156,snow governmentgenerated fake,1
157,texas power grid part u power grid wanted avoid federal regulation,1
158,say gov andrew cuomo democratic lawmaker granting free tuition illegal immigrant closing excelsior scholarship application citizen student,1
159,president joe bidens day one approach immigration included blanket amnesty halting border wall construction,1
160,resident new york state pay highest tax nation,1
161,former la vega raider offensive tackle bruce campbell involved altercation,1
162,say wisconsin republican lawmaker done nothing neighboring state like minnesota illinois michigan already implemented safety precaution like requiring individual wear mask,1
163,say 1 5 texan health insurance coverage pandemic nearly 1 3 texan age 65 dont access health care insurance,1
164,home health worker low pay limited benefit 40 still snap medicaid,1
165,there already 10000 business likely open significant number small business minority business,1
166,ppp average probably provided grant around 11000 per employee,1
167,murder year spiked 27 philadelphia,1
168,taxpayer spent 70000000 develop drug remdesivir,1
169,way back january warned president trump pandemic coming talked needed,1
170,trade agreement like nafta permanent normal trade relation china forced american worker compete people making penny hour resulted loss 160000 job michigan,1
171,boone county missouri 17 unemployment rate cant find enough people cant fill job opening,1
172,say bernie sander voted brady bill five time background check people,1
173,higher education one america strongest export sector 1 million international student studied american university 201819 school year contributed 40 billion economy,1
174,three hundred sixty thousand pennsylvanian fought side union defeat flag confederate flag including black soldier coming pennsylvania state nation,1
175,former u vice president richard mentor johnson slave owner married one slave father two child,1
176,federal aid state local government proposed coronavirus relief bill would amount half republican put onto national debt,1
177,literally 140 people dying every day opioidrelated overdoses,1
178,united state nation grant legal permanent residency million people per year,1
179,say opponent nc insurance commissioner perennial candidate 30 year,1
180,defendant charged producing directing promoting obscene sexual performance child arraigned set free,1
181,congressional authority close guantanamo bay prison,1
182,last year 36 million american didnt prescription filled couldnt afford,1
183,youre black woman youre 320 likely die complication childbirth,1
184,say pete buttigieg ran statewide indiana lost 20 point,1
185,real wage went last year 11,1
186,say president donald trump given congress single email phone record document,1
187,estimated 12 worker business likely stay open crisis receiving paid sick leave benefit result second coronavirus relief package,1
188,say california surfer alone ocean arrested violating state stayathome order,1
189,cdc tried develop clear guideline stage reopening look like administration delayed scaled back,1
190,united state completed toptobottom review criminal justice system national level since 1965,1
191,trump said hundred governor calling 50,1
192,president trump banned welfare illegal immigrant save 574 billion year,1
193,governor gretchen whitmer spent past weekend vacation cottage birch lake violating executive order,1
194,trump lost trade war started,1
195,say bill oreilly wrote post claiming coronavirus created bioweapon chinese government,1
196,say kurt russell goldie hawn support trump wearing tshirt,1
197,say coronavirus threat single suggestion anyone doctor scientist political figure needed cancel mardi gras,1
198,photo show crowded new york city subway train stayathome order,1
199,say donald trump opposed plan clean toxic chemical cause cancer water put wisconsin risk,1
200,nfl fly black life matter flag american flag game,1
201,wearing kente cloth worn affluent african slave trader like honoring jew wearing swastika,1
202,quote president donald trump saying everybody say ive done tremendous job covid think little gratitude would nice maybe big thank mr president called,1
203,say governor michigan new york nevada issued order banning prescription hydroxychloroquine patient covid19,1
204,say barack obama signed law authorizing federal agent snatch protester street portland ore,1
205,say joe biden proposed killing 600000 job supported fracking,1
206,george floyd funeral george floyd three day ago,1
207,one lowest mortality rate world covid19,1
208,say joe biden want defund police,1
209,say black baby die rate twice high white baby lack access affordable health care,1
210,say italian prime minister giuseppe conte said lost control killed epidemic physically mentally cant understand solution exhausted ground hope remains sky god rescue people,1
211,marquette university threatened rescind student admission protrump tiktok video,1
212,say student repeat grade next year,1
213,say coronavirus aid relief economic security act give member congress pay increase,1
214,supreme court ruled today voting mail,1
215,say sen thom tillis voted take away coverage people preexisting condition,1
216,cal cunningham criticized paycheck protection program company benefitted,1
217,covid literally stand chinese originated viral infectious disease,1
218,say president barack obama signed medical appliance tax bill forced company outsource manufacturing mask gown glove ventilaors sic china europe russia avoid tax,1
219,pelosi wuhan china 6 day impeachment hoax failed,1
220,list eight wealthy politician public figure got million close ppp loan,1
221,michigan gov gretchen whitmer stripped emergency coronavirus power state legislature,1
222,also using sterilization process great equipment sterilize mask 20 time per mask thats like ordering 20 time mask,1
223,go 2020censusgov fill census form get stimulus check,1
224,heard yesterday joe biden said wellarmed police word become enemy said would absolutely cut funding law enforcement,1
225,say photo show elephant carrying lion cub pool water wouldnt die,1
226,say melania trump lied oath 2013 graduating college bachelor degree architecture,1
227,say photo show barack obama hillary clinton condoleezza rice posing osama bin laden,1
228,say nancy pelosi arrested ripping copy state union speech,1
229,trey gowdy said im saying covid19 isnt real pay attention folk there much going meet eye,1
230,breaking news kim jong un passed away,1
231,according website black life matter inc charity fullfledged corporation location,1
232,say mike bloomberg opposed modest proposal barack obamas presidency raise tax wealthy advocating cut medicare social security,1
233,michigan prosecutor look release 90 convicted murderer serving life sentence,1
234,say president donald trump implemented travel ban didnt work 400000 people got country subject restriction,1
235,new york city could pay house homeless population hotel room currently sitting vacant mayor bill de blasio absolutely point refused,1
236,virginia lagged behind state come covid19 testing,1
237,week osha werent even enforcing guideline coronavirus still today osha specifying rule employee must follow keep worker safe healthy,1
238,say department health service secretary andrea palm career bureaucrat past tie wisconsin,1
239,cop norway require 3 year training 4 people killed since 2002 cop finland require 2 year training 7 people killed since 2000 cop iceland require 2 year training 1 person killed since ever cop u require 21 week training 8000 people killed since 2001,1
240,donald trump recruiting excited enthusiastic minority actor actress appear campaign rally tulsa okla,1
241,sex trafficker using ziptie contraption door handle vehicle trick female looking digging something purse cut theyre distracted boom quickly forced another vehicle never seen people,1
242,say milwaukee mass shooter supposedly black noose hung locker addressed issue fired returned next work day killed thought involved,1
243,sunlight actually kill novel coronavirus,1
244,2019 coronavirus live 3 hour air 4 hour copper 24 hour cardboard 3 day plastic stainless steel,1
245,say gov tony evers want release half prison population,1
246,photo show brian kemp posing gregory mcmichael,1
247,cdc recommended mail voting thats whole pandemic election,1
248,mayor covid19 order kansa city churchgoer must register government,1
249,medium outlet reported boy died 3 time coronavirus 3 country,1
250,say bernie sander voted auto bailout,1
251,say exminneapolis officer accused killing george floyd commits suicide prison cell,1
252,george floyds death ensuing protest planned introduce martial law purge united state,1
253,say ok kill baby born virginia,1
254,wife suffering coronavirus pregnant doctor said wont survive,1
255,photo show inside bok center donald trump rally tulsa,1
256,weve still death flu year weve covid19,1
257,flu killed 80000 people u last year,1
258,flu killed 80000 american last year according cdc,1
259,state getting 50 test per day utah jazz got 58,1
260,say tim tebow kneeled protest abortion national anthem 2012 praised fan model american,1
261,go look country went exactly started reopen saw infection rate go back,1
262,flu pandemic 1918 city lifted social distancing measure fast soon created second wave pandemic,1
263,say researcher found fabric kill coronaviruses,1
264,iowa highest highschool graduation rate country,1
265,research illustrates clear correlation vitamin deficiency higher covid19 mortality rate,1
266,post comparing two construction worker joe legal jose illegal say jose pay tax yet get free medical care food stamp welfare head class priority child applying college,1
267,nyc man drop dead middle street suspected coronavirus,1
268,say joe biden attacked voter primary saying damn liar full dogfaced pony soldier,1
269,whole italy go quarantine,1
270,photo show air force one 2020 daytona 500,1
271,say truck driver turned away fastfood restaurant covid19 pandemic,1
272,say image show pete buttigieg leather suit posing two men,1
273,receives strong support conservative rural part vermont,1
274,audio message list five way people prevent novel coronavirus,1
275,african living china forced sleep outside cold chinese national blame rising number new coronavirus case country,1
276,republican shown willing cut million health insurance eliminate preexisting condition protection million even middle public health crisis,1
277,say 35 million u citizen lost employertied health insurance march zero lost coverage 20 large nation combined,1
278,illinois lag way behind neighbor certainly bottom tier state testing,1
279,face mask exempt card allows cite ada wear mask,1
280,hay county central texas seen incredible 845 increase covid19 case since june 7,1
281,say nancy pelosis coronavirus bill includes tax credit solar wind energy retirement plan community newspaper employee 300 million pb climate change study,1
282,bill gate george soros want secretly stick chip testing coronavirus dems bill house floor ready vote require,1
283,ive taken pledge take one dime corporate pac donation,1
284,osha say mask dont work reduce covid19 transmission violate osha oxygen level,1
285,north carolina one four state hasnt opened gym,1
286,june 23 covid19 death rate way,1
287,say president trump said coronavirus testing make u look bad said people slow testing,1
288,hidden care act obscure 135 billion tax break 43000 millionaire,1
289,three year administration net farm income already gone nearly 50,1
290,long list show new cdc guideline reopening school,1
291,getting access gun america easier adopting dog registering vote,1
292,almost 75 percent death covid19 state texas result people contracting covid19 age 65 older,1
293,year economic decay trump reversed failed economic policy previous administration,1
294,say house democrat passed impeachment rule allow witness called unless witness approved adam schiff allow involvement president legal counsel allow witness questioned unless question approved adam schiff,1
295,say kate spade worked clinton suggests involved death,1
296,say photo show old christmas tradition woman apologizing husband mistake made year beg forgiveness,1
297,kkk officially endorses trump 2020,1
298,scientist shocked discover weed kill corona virus,1
299,say donald trump tweeted good authority real reason delayed result iowacaucus trying hide fact winner one time hope dnc actually successful vermin candidate smart crazy enough possibly beat,1
300,say jordan davis son georgia congresswoman lucy mcbath killed drug deal gone bad,1
301,lot people get additional 2400 care act every month,1
302,wi 79 title x patient rely planned parenthood basic health care,1
303,say nancy pelosi said dangerous let voter decide trump fate,1
304,say eight iowa county adult registered vote votingaged adult living,1
305,say photo jfk airport show troop leaving protect one u country,1
306,event 201 gave stuffed souvenir coronavirus toy commemorate novel coronavirus outbreak,1
307,earnings bottom 10 rising faster earnings top 10,1
308,say president barack obama furious caught camera holding promuslim book,1
309,murray energy largest coal company united state,1
310,say video show drone footage killing qassem soleimani,1
311,say adam schiff investigation ukrainian burisma oil connection,1
312,paid rent march april got give money back,1
313,one eight american adult 127 percent u population meet diagnostic criterion alcohol use disorder,1
314,dr fauci say every american microchipped,1
315,missouri one highest rate uninsured child country,1
316,317 criminal indictment three recent republican president three indictment three recent democratic president,1
317,say democrat spent 40000000 tax dollar trying impeach trump,1
318,trump suing cnn proimpeachment bias demand substantial payment,1
319,last two year number murder america america major city dropped unlike chicago 10,1
320,say photo show kurdish kid turkey invasion,1
321,say california 30 third country people living poverty level,1
322,redflag law say democrat wanted say think might something im going take away gun make prove wouldnt,1
323,president trump covid19 coronavirus u case 1329 u death 38 panic level mass hysteria president obama h1n1 virus u case 608 million u death 12469 panic level totally chill see medium manipulate life,1
324,italy decided treat elderly virus,1
325,say anthony faucis statement coronavirus death rate 10 time seasonal flu claim without scientific basis,1
326,say lil boosie george zimmerman got fight,1
327,hospital get paid 750 patient die flu 17500 covid19,1
328,say certain face mask effective others cloth mask,1
329,say two week get flu shot active live walking virus,1
330,say people send christmas card recovering american soldier walter reed army medical center washington dc,1
331,say photo show golden gate bridge opening public first time back 1937 yes almost collapsed,1
332,china today burning seven eight time amount coal burning united state,1
333,president want cut 3 million people snap including child senior veteran,1
334,house democrat passed 275 bipartisan bill congress,1
335,widow son deceased military veteran looked horror speaker nancy pelosi ripped copy state union,1
336,state capitol police recommended banning gun capitol,1
337,say 2000 book talking osama bin laden said kill take,1
338,u virginia murder usually gangbangers killing gangbangers,1
339,man storming u embassy iraq visited white house 2011,1
340,say series photo show iranian rocket launched toward u air base iraq,1
341,asked he defended former u ambassador ukraine marie yovanovitch ive defended every single person team,1
342,80 republican think ought least universal background check,1
343,texas man admits kidnapping 79 people,1
344,say gary peter support medicare siding radical liberal,1
345,donald trump announcing tomorrow u going quarantine next 14 day,1
346,say potomac river gotten dirtier dirtier dirtier dirtier go litter left almost exclusively immigrant,1
347,clearly obama administration leave kind game plan something like,1
348,democrat introduce bill euthanize senior save social security,1
349,mayor newark nj cory booker stole 600000 city water authority laundered law firm,1
350,say facebook witch checker,1
351,say nancy pelosi diverted 24 billion social security cover impeachment cost,1
352,1927 news article showing america sold five billionaire rothschild rockefeller duponts harriman warburg,1
353,say republican two congressional seat north carolina supposed,1
354,male birth control testing stopped men testicle start exploding india,1
355,say obamas connected varsity blue college admission scandal,1
356,millionaire eligible food stamp donald trump came along decided put stop,1
357,say republican dan bishop 17 point nc congressional race lot,1
358,say joe biden said never spoke ukrainian company picture came playing golf company bos hunter biden,1
359,say rep adam schiff complicit editing composing whistleblower complaint filed,1
360,say william barr tweeted breaking news senator mitt romney republican senator voted remove president trump office completely unrelated story senator mitt romney also republican senator son sits board ukrainian energy company,1
361,say john f kennedy smoked cannabis white house president suffered severe back pain addisons disease,1
362,say oregon highest income tax bracket included anyone making 250000 2012 state expanded upper bracket include anyone making 125000,1
363,right 5 american donate candidate,1
364,80 world population life country religious liberty significant danger even completely outlawed,1
365,active warrant arrest murder legally pas background check system state texas purchase gun,1
366,study showed many one four people package stolen residence,1
367,rick scott governor florida invested record funding hivaids prevention,1
368,say ilhan omar partied anniversary 911,1
369,come electability every single time party presidency last 50 year candidate new national scene hadnt spent lot time washington represented new generation leadership,1
370,there african american male penal system right enslaved height slavery,1
371,wage rise fact top smallbusiness wage growth state nation,1
372,90000 californian unsheltered homeless,1
373,entered one poorest men congress left one poorest men government congress vice president,1
374,city america new york reduced murder 50 reduced police shooting historic low reduced number people incarcerated nearly 40,1
375,texas latinas make le 045 every dollar man make make u 49th nation,1
376,say 1000 people failed gun background check wisconsin 2018 almost none prosecuted trying background check illegally buy weapon,1
377,first decline overdose death due drug 30 year since 1990,1
378,member congress voted inquiry clinton inquiry trump inquiry,1
379,president trump hasnt built new border wall time office,1
380,previous clemency board granted restoration civil right thousand floridian far year clemency board four felon gotten right back,1
381,since president donald trump election 36000 job created wi,1
382,u agricultural food export expected increase 2 billion annually usmca,1
383,say people convicted felony restraining order buy firearm without going background check,1
384,one unnamed donor gave 17 million leoaffiliated judicial crisis network block nomination judge merrick garland support gorsuch donor perhaps one gave another 17 million prop kavanaugh,1
385,390 million gun street country 329 million people,1
386,america governor whove worn blackface black governor,1
387,reality american obama presidency lost wealth income fell particularly bottom ladder,1
388,thirtyfour 47 men depicted famous declaration independence painting slaveholder,1
389,last time people created hollywood blacklist people ended killing accused lost right work,1
390,2010 2017 natural gas production plummeted nearly 70 percent new york soared almost 1000 percent pennsylvania,1
391,say 90 policeman expanding background check gun sale,1
392,longer wealthiest middle class world,1
393,average bridge missouri 48 year old designed last 50 year,1
394,say 2016 presidential election one 42 point 42 point west virginia,1
395,half death row prisoner people color,1
396,united state 1 oil consumption world,1
397,49 new income go top 1,1
398,since passage tax cut real disposable personal income per household increased 5205,1
399,average 65 gun death america suicide,1
400,law say mental health must treated physical health coverage health insurer unequal,1
401,african american three four time likely arrested drug crime nine time likely imprisoned,1
402,last year prosecuted record number firearm offense,1
403,say el paso year city almost 700000 five murder entire year average last 10 year 18 murder per year exceeded average one day gunman opened fire walmart city,1
404,say kamala harris oversaw police department abusing people right disclose defense attorney exculpatory evidence didnt never happened along came federal judge said enough enough freed 1000 people,1
405,look homelessness situation take city like tokyo people new york city there homelessness,1
406,study show minimum wage cant rent twobedroom apartment anywhere united statesa modest twobedroom apartment,1
407,reagan took deficit 70 billion 175 billion bush 41 took 300 billion clinton got zero bush 43 took zero 12 trillion obama halved 600 billion trump got back trillion,1
408,2017 marijuana possession arrest country violent crime combined,1
409,made parity mental health physical health fundamental breakthrough thought thing work,1
410,thats mischaracterization thinking,1
411,said seven year war led near bankruptcy many country britain need raise tax fueled american desire independence,1
412,wealthiest three family wealth bottom half country,1
413,say part second class integrate berkeley california public school,1
414,say cory booker accepted 400000 pharmaceutical industry political career,1
415,go back see wayne lapierre run nra testifying front congress favor background check 15 20 year ago,1
416,american uninsured today president donald trump took office,1
417,criminal dont go gun background check think like 3 go background check,1
418,time president trump talk supporting veteran deporting service member volunteered serve country,1
419,2014 mcdowell county wva one poorest county nation life expectancy men 64 year fairfax county va wealthy county 350 mile away life expectancy nearly 82 year 18 year differential life expectancy gap woman two county 12 year,1
420,food stamp participation hit 10 year low,1
421,say section 1325 u immigration law put place 1929 segregationist,1
422,florida red flag gun law used five time day,1
423,climate scientist agree le decade turn thing around else well stuck worst case scenario including rising sea level devastating drought worsening famine,1
424,lag behind many developed nation connectivity speed also paying service,1
425,last year south carolina spent 21756 per prison inmate 11552 per student,1
426,12 legal immigrant selected based skill based merit country like canada australia new zealand others number closer 60 even 70 75 case,1
427,actually 2005 ran medicare,1
428,state contributed 80 million new buck arena new income tax revenue basketball event alone estimated probably 600 million life lease,1
429,look today half 30yearolds better parent age 30 raised 90,1
430,richmond one city state increase real estate tax prerecession rate,1
431,weve 30 increase suicide country 15 year,1
432,connecticut licensing shooting dropped murder dropped 40 suicide dropped 15,1
433,unemployment rate wisconsin worker reached historic low never low ever ever ever,1
434,vast majority american believe climate change real need something,1
435,majority american across party favor nondiscrimination policy lgbtq people liberal 81 moderate 76 conservative 55,1
436,current school psychologist student ratio country roughly 1400 1 expert say 700 1,1
437,said sen thom tillis cosponsored bill provided amnesty provided clear path citizenship illegal immigrant,1
438,losing china many year 500 billion year,1
439,speaking financial crisis gained traction 2007 talked anyone would listen crisis coming,1
440,united kingdom largest trading partner,1
441,1994 crime bill generate mass incarceration,1
442,say donald trump claim insufficient evidence therefore country person innocent directly contradicts special counsel robert muellers statement,1
443,half country today either diabetes prediabetes,1
444,one 4 diabetes patient country cannot afford insulin,1
445,pond missouri data causing groundwater contamination statewide issue,1
446,ceiling virginia senate house chamber circled goldembossed tobacco leaf,1
447,say nancy pelosi said someone illegally doesnt mean broke law,1
448,road condition cost wi family milwaukee average cost per driver 2300,1
449,california leading nation holding drug company accountable fighting prescription drug price,1
450,west virginia student enter fourth grade first time theyre tested 37th 38th nationwhich good horrible time theyre 8th grade theyre 46th 47th upon 11th grade testing theyre near last,1
451,increase 67 percent number child taken state custody since 2014,1
452,american would run avocado three week import mexico stopped due border closure,1
453,america life expectancy declined last three year row first time hundred year surge suicide drug overdoses,1
454,30 state average teacher pay le living wage family four,1
455,right 1 4 texas woman reproductive age uninsured totaling 15 million texas woman,1
456,cabinet post best voting record trump nominee anyone else running president,1
457,george holding voted 13 time deny kevin 300000 people like 2nd congressional district coverage preexisting condition,1
458,investigating supreme court confirmation process fbi doesnt,1
459,say beat president barack obama supreme court saving coal job,1
460,2017 number new business registration west virginia grew nearly 11 percent 8318 new business registered year come heel 12 percent increase new business registration 2016,1
461,since 2009 million american lost health care plan,1
462,spending growth gov andrew cuomo despite fact continue suggest youve able hold two percent havent,1
463,close half child california near poverty consider costofliving,1
464,say marsha blackburn behest pharmaceutical industry cosponsored law weakened dea enforcement effort drug distribution company supplying corrupt doctor pharmacist peddled narcotic black market,1
465,say revenue actually tax reform,1
466,say 40 republican leader denounced steve watkins campaign,1
467,say andrew gillum want increase florida tax billion dollar,1
468,30 state passed legislation ban powdered alcohol missouri one,1
469,14 wealthy oecd country wealth tax 1996 10 since abandoned,1
470,im one first guy introduce climate change bill way way back 87,1
471,state transportation department already heavy debt load paid 700 million debt payment last two year,1
472,994 business wisconsin small business employ nearly half workforce,1
473,one five american cannot afford cost prescription drug,1
474,youve got million family paying 40 50 60 limited income put roof head,1
475,extremerisk gun law idea passed republican legislature state signed republican governor,1
476,million californian clean water bathe drink,1
477,2011 example united kingdom 146 death due gun violence denmark 71 portugal 142 japan 30 last year united state almost 40000,1
478,say 30000 veteran north carolina health insurance,1
479,since 1938 minimum wage increased 23 time raised 21 time democratic congress twice republican one,1
480,expanding medicaid would bring 40000 job north carolina,1
481,1992 democratic party platform provision said illegal alien coming country committing felony sent back right back across border thing,1
482,today minimum wage worker making 725 hour le buying power minimum wage worker 1960s,1
483,military experience anybody who arrived behind desk since george hw bush,1
484,court quietly confirmed mmr vaccine cause autism,1
485,mccarranwalter act 1952 ban muslim holding public office united state,1
486,say beto orourkes fatherinlaw billionaire real estate developer bankrolled super pac buy beto congressional seat,1
